APN_push_L1_seed98765,1300,98765,0.14,0.23,0.16,0.25,0.77,0.48,0.5,0.4,0.54,0.11,0.26,0.21,0.11
APN_push_L1_seed98765,1300,98765,0.12,0.24,0.14,0.27,0.77,0.49,0.49,0.41,0.5,0.13,0.27,0.21,0.13
APN_push_L1_seed98765,1300,98765,0.12,0.26,0.14,0.28,0.81,0.5,0.42,0.4,0.47,0.1,0.22,0.19,0.1
APN_push_L1_seed98765,1300,98765,0.15,0.25,0.16,0.26,0.82,0.47,0.46,0.41,0.49,0.12,0.23,0.19,0.12
APN_push_L1_seed98765,1300,98765,0.09,0.17,0.11,0.19,0.56,0.58,0.63,0.49,0.65,0.22,0.4,0.32,0.22
APN_push_L1_seed98765,1300,98765,0.13,0.25,0.16,0.28,0.82,0.47,0.46,0.41,0.45,0.1,0.21,0.19,0.1
APN_push_L1_seed98765,1300,98765,0.12,0.19,0.14,0.21,0.67,0.5,0.57,0.42,0.6,0.17,0.3,0.25,0.17
APN_push_L1_seed98765,1300,98765,0.09,0.18,0.1,0.2,0.56,0.59,0.63,0.49,0.62,0.2,0.38,0.31,0.2
APN_push_L1_seed98765,1300,98765,0.09,0.16,0.11,0.19,0.55,0.59,0.65,0.49,0.64,0.24,0.41,0.33,0.24
APN_push_L1_seed98765,1300,98765,0.09,0.17,0.1,0.19,0.55,0.6,0.64,0.5,0.65,0.25,0.4,0.33,0.25
APN_push_L1_seed98765,2560,98765,0.18,0.57,0.17,0.58,1.5,0.42,0.23,0.42,0.24,0.05,0.09,0.1,0.05
APN_push_L1_seed98765,2560,98765,0.15,0.36,0.16,0.38,1.05,0.52,0.72,0.43,0.78,0.22,0.38,0.34,0.22
APN_push_L1_seed98765,2560,98765,0.18,0.51,0.17,0.55,1.41,0.42,0.41,0.42,0.5,0.1,0.17,0.2,0.1
APN_push_L1_seed98765,2560,98765,0.17,0.49,0.17,0.5,1.33,0.42,0.45,0.42,0.58,0.12,0.19,0.23,0.12
APN_push_L1_seed98765,2560,98765,0.19,0.47,0.18,0.48,1.32,0.42,0.47,0.42,0.6,0.12,0.19,0.24,0.12
APN_push_L1_seed98765,2560,98765,0.17,0.5,0.17,0.52,1.36,0.42,0.43,0.42,0.54,0.11,0.18,0.22,0.11
APN_push_L1_seed98765,2560,98765,0.18,0.56,0.18,0.57,1.49,0.42,0.33,0.42,0.46,0.07,0.13,0.19,0.07
APN_push_L1_seed98765,2560,98765,0.17,0.53,0.17,0.55,1.43,0.42,0.37,0.42,0.51,0.09,0.15,0.21,0.09
APN_push_L1_seed98765,2560,98765,0.18,0.53,0.18,0.55,1.44,0.42,0.27,0.42,0.55,0.06,0.11,0.23,0.06
APN_push_L1_seed98765,2560,98765,0.18,0.53,0.18,0.53,1.42,0.42,0.26,0.42,0.59,0.05,0.11,0.25,0.05
APN_push_L1_seed98765,2560,98765,0.18,0.51,0.18,0.52,1.39,0.42,0.38,0.42,0.63,0.09,0.16,0.27,0.09
APN_push_L1_seed98765,2560,98765,0.18,0.53,0.17,0.54,1.43,0.42,0.26,0.42,0.56,0.05,0.11,0.23,0.05
APN_push_L1_seed98765,2560,98765,0.18,0.57,0.19,0.58,1.54,0.42,0.23,0.42,0.39,0.05,0.09,0.16,0.05
APN_push_L1_seed98765,2560,98765,0.17,0.55,0.17,0.56,1.46,0.42,0.24,0.42,0.48,0.05,0.09,0.2,0.05
APN_push_L1_seed98765,2560,98765,0.17,0.5,0.17,0.5,1.35,0.42,0.43,0.42,0.65,0.11,0.18,0.27,0.11
APN_push_L1_seed98765,2560,98765,0.18,0.52,0.18,0.52,1.41,0.42,0.3,0.42,0.62,0.07,0.13,0.26,0.07
APN_push_L1_seed98765,2560,98765,0.17,0.55,0.17,0.56,1.46,0.42,0.23,0.42,0.48,0.05,0.09,0.2,0.05
APN_push_L1_seed98765,2560,98765,0.19,0.59,0.19,0.61,1.58,0.42,0.23,0.42,0.28,0.05,0.09,0.12,0.05
APN_push_L1_seed98765,2560,98765,0.18,0.56,0.18,0.58,1.51,0.42,0.23,0.42,0.39,0.05,0.09,0.16,0.05
APN_push_L1_seed98765,2560,98765,0.17,0.54,0.17,0.55,1.43,0.42,0.25,0.42,0.54,0.05,0.1,0.23,0.05
APN_push_L1_seed98765,2560,98765,0.18,0.55,0.18,0.56,1.49,0.42,0.23,0.42,0.47,0.05,0.09,0.19,0.05
APN_push_L1_seed98765,5000,98765,0.17,0.33,0.18,0.33,1.02,0.42,0.29,0.42,0.29,0.0,0.12,0.12,0.0
APN_push_L1_seed98765,5000,98765,0.05,0.09,0.05,0.1,0.29,0.7,0.75,0.71,0.71,0.3,0.52,0.5,0.3
APN_push_L1_seed98765,5000,98765,0.06,0.1,0.06,0.11,0.33,0.67,0.68,0.68,0.68,0.26,0.45,0.46,0.26
APN_push_L1_seed98765,3900,98765,0.04,0.05,0.04,0.05,0.18,0.71,0.69,0.71,0.69,0.32,0.49,0.49,0.32
APN_push_L1_seed98765,3900,98765,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
APN_push_L1_seed98765,6000,98765,0.1,0.06,0.1,0.06,0.33,0.5,0.48,0.5,0.48,0.09,0.26,0.27,0.09
APN_push_L1_seed98765,6000,98765,0.01,0.01,0.01,0.01,0.03,1.0,0.96,1.0,0.93,0.89,0.96,0.93,0.89
APN_push_L1_seed98765,6000,98765,0.0,0.0,0.01,0.0,0.01,0.97,1.0,0.95,1.0,0.92,0.97,0.95,0.92
APN_push_L1_seed98765,6000,98765,0.01,0.01,0.01,0.01,0.04,0.98,0.92,0.98,0.92,0.83,0.9,0.91,0.83
APN_push_L1_seed98765,3900,98765,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
APN_push_L1_seed98765,1295,98765,0.01,0.0,0.01,0.0,0.02,0.96,1.0,0.97,1.0,0.94,0.96,0.97,0.94
APN_push_L1_seed98765,1295,98765,0.0,0.0,0.0,0.0,0.01,0.99,1.0,0.99,1.0,0.98,0.99,0.99,0.98
APN_push_L1_seed98765,1295,98765,0.01,0.01,0.02,0.01,0.05,0.89,0.99,0.81,0.98,0.71,0.88,0.8,0.71
APN_push_L1_seed98765,1295,98765,0.0,0.0,0.0,0.0,0.02,0.99,1.0,0.99,1.0,0.98,0.99,0.99,0.98
APN_push_L1_seed98765,1295,98765,0.02,0.02,0.01,0.02,0.07,0.84,0.93,0.87,0.93,0.73,0.8,0.83,0.73
APN_push_L1_seed98765,1295,98765,0.01,0.01,0.0,0.01,0.03,0.97,0.99,0.97,0.99,0.93,0.96,0.96,0.93
